Date,^GSPC,^IXIC,^DJI
2004-03-24,1091.3299560546875,1909.47998046875,10048.23046875
2004-03-25,1109.18994140625,1967.1700439453125,10218.8203125
2004-03-26,1108.06005859375,1960.02001953125,10212.9697265625
2004-03-29,1122.469970703125,1992.5699462890625,10329.6298828125
2004-03-30,1127.0,2000.6300048828125,10381.7001953125
2004-03-31,1126.2099609375,1994.219970703125,10357.7001953125
2004-04-01,1132.1700439453125,2015.010009765625,10373.330078125
2004-04-02,1141.81005859375,2057.169921875,10470.58984375
2004-04-05,1150.5699462890625,2079.1201171875,10558.3701171875
2004-04-06,1148.1600341796875,2059.89990234375,10570.8095703125
2004-04-07,1140.530029296875,2050.239990234375,10480.150390625
2004-04-08,1139.3199462890625,2052.8798828125,10442.0302734375
2004-04-12,1145.199951171875,2065.47998046875,10515.5595703125
2004-04-13,1129.43994140625,2030.0799560546875,10381.2802734375
2004-04-14,1128.1700439453125,2024.8499755859375,10377.9501953125
2004-04-15,1128.8399658203125,2002.1700439453125,10397.4599609375
2004-04-16,1134.6099853515625,1995.739990234375,10451.9697265625
2004-04-19,1135.8199462890625,2020.4300537109375,10437.849609375
2004-04-20,1118.1500244140625,1978.6300048828125,10314.5
2004-04-21,1124.0899658203125,1995.6300048828125,10317.26953125
2004-04-22,1139.9300537109375,2032.9100341796875,10461.2001953125
2004-04-23,1140.5999755859375,2049.77001953125,10472.83984375
2004-04-26,1135.530029296875,2036.77001953125,10444.73046875
2004-04-27,1138.1099853515625,2032.530029296875,10478.16015625
2004-04-28,1122.4100341796875,1989.5400390625,10342.599609375
2004-04-29,1113.8900146484375,1958.780029296875,10272.26953125
2004-04-30,1107.300048828125,1920.1500244140625,10225.5703125
2004-05-03,1117.489990234375,1938.719970703125,10314.0
2004-05-04,1119.550048828125,1950.47998046875,10317.2001953125
2004-05-05,1121.530029296875,1957.260009765625,10310.9501953125
2004-05-06,1113.989990234375,1937.739990234375,10241.259765625
2004-05-07,1098.699951171875,1917.9599609375,10117.33984375
2004-05-10,1087.1199951171875,1896.0699462890625,9990.01953125
2004-05-11,1095.449951171875,1931.3499755859375,10019.4697265625
2004-05-12,1097.280029296875,1925.5899658203125,10045.16015625
2004-05-13,1096.43994140625,1926.030029296875,10010.740234375
2004-05-14,1095.699951171875,1904.25,10012.8701171875
2004-05-17,1084.0999755859375,1876.6400146484375,9906.91015625
2004-05-18,1091.489990234375,1897.8199462890625,9968.509765625
2004-05-19,1088.6800537109375,1898.1700439453125,9937.7099609375
2004-05-20,1089.18994140625,1896.5899658203125,9937.6396484375
2004-05-21,1093.56005859375,1912.0899658203125,9966.740234375
2004-05-24,1095.4100341796875,1922.97998046875,9958.4296875
2004-05-25,1113.050048828125,1964.6500244140625,10117.6201171875
2004-05-26,1114.93994140625,1976.1500244140625,10109.8896484375
2004-05-27,1121.280029296875,1984.5,10205.2001953125
2004-05-28,1120.6800537109375,1986.739990234375,10188.4501953125
2004-06-01,1121.199951171875,1990.77001953125,10202.650390625
2004-06-02,1124.989990234375,1988.97998046875,10262.9697265625
2004-06-03,1116.6400146484375,1960.260009765625,10195.91015625
2004-06-04,1122.5,1978.6199951171875,10242.8203125
2004-06-07,1140.4200439453125,2020.6199951171875,10391.080078125
2004-06-08,1142.1800537109375,2023.530029296875,10432.51953125
2004-06-09,1131.3299560546875,1990.6099853515625,10368.4404296875
2004-06-10,1136.469970703125,1999.8699951171875,10410.099609375
2004-06-14,1125.2900390625,1969.989990234375,10334.73046875
2004-06-15,1132.010009765625,1995.5999755859375,10380.4296875
2004-06-16,1133.56005859375,1998.22998046875,10379.580078125
2004-06-17,1132.050048828125,1983.6700439453125,10377.51953125
2004-06-18,1135.02001953125,1986.72998046875,10416.41015625
2004-06-21,1130.300048828125,1974.3800048828125,10371.4697265625
2004-06-22,1134.4100341796875,1994.1500244140625,10395.0703125
2004-06-23,1144.06005859375,2020.97998046875,10479.5703125
2004-06-24,1140.6500244140625,2015.5699462890625,10443.8095703125
2004-06-25,1134.4300537109375,2025.469970703125,10371.83984375
2004-06-28,1133.3499755859375,2019.8199462890625,10357.08984375
2004-06-29,1136.199951171875,2034.9300537109375,10413.4296875
2004-06-30,1140.8399658203125,2047.7900390625,10435.48046875
2004-07-01,1128.93994140625,2015.550048828125,10334.16015625
2004-07-02,1125.3800048828125,2006.6600341796875,10282.830078125
2004-07-06,1116.2099609375,1963.4300537109375,10219.33984375
2004-07-07,1118.3299560546875,1966.0799560546875,10240.2900390625
2004-07-08,1109.1099853515625,1935.3199462890625,10171.5595703125
2004-07-09,1112.81005859375,1946.3299560546875,10213.2197265625
2004-07-12,1114.3499755859375,1936.9200439453125,10238.2197265625
2004-07-13,1115.1400146484375,1931.6600341796875,10247.58984375
2004-07-14,1111.469970703125,1914.8800048828125,10208.7998046875
2004-07-15,1106.68994140625,1912.7099609375,10163.16015625
2004-07-16,1101.3900146484375,1883.1500244140625,10139.7802734375
2004-07-19,1100.9000244140625,1883.8299560546875,10094.0595703125
2004-07-20,1108.6700439453125,1917.0699462890625,10149.0703125
